Time,Indoor Temperature(℃),Indoor Humidity(%),Outdoor Temperature(℃),Outdoor Humidity(%),Dew Point(℃),Feels Like(℃),Wind(m/s),Gust(m/s),Wind Direction(°),ABS Pressure(hpa),REL Pressure(hpa),Solar Rad.(w/m2),UVI,Hourly Rain(mm),Event Rain(mm),Daily Rain(mm),Weekly Rain(mm),Monthly Rain(mm),Yearly Rain(mm)
2023/9/16 13:00,30.7,79,28.3,83,25.2,33.3,0.0,0.0,322,1012.0,1012.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:05,32.3,74,28.4,83,25.3,33.6,0.0,0.0,113,1012.1,1012.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:10,33.4,71,28.4,83,25.3,33.6,0.0,0.0,62,1012.0,1012.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:15,34.2,68,28.5,83,25.3,33.9,0.0,0.0,297,1012.0,1012.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:20,35.1,66,28.5,83,25.4,33.9,0.0,0.0,210,1012.1,1012.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:25,35.3,65,28.5,83,25.4,33.9,0.0,0.0,255,1012.0,1012.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:30,35.4,64,28.6,83,25.4,34.3,0.0,0.0,161,1011.7,1011.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:35,35.2,64,28.6,83,25.4,34.3,0.0,0.0,27,1011.6,1011.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:40,35.4,64,28.7,83,25.5,34.6,0.0,0.0,326,1011.7,1011.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:45,35.2,65,28.7,83,25.5,34.6,0.0,0.0,99,1011.7,1011.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:50,35.3,64,28.7,83,25.5,34.6,0.0,0.5,217,1011.5,1011.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 13:55,35.1,64,28.8,83,25.6,34.7,0.0,0.0,297,1011.5,1011.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:00,35.2,64,28.8,83,25.6,34.7,0.0,0.0,237,1011.2,1011.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:05,35.3,64,28.9,83,25.7,35.1,0.0,0.0,91,1011.4,1011.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:10,35.2,63,28.9,83,25.7,35.1,0.0,0.6,214,1011.4,1011.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:15,35.2,63,28.9,83,25.7,35.1,0.0,0.0,142,1011.1,1011.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:20,35.1,64,29.0,83,25.8,35.4,0.0,0.5,103,1010.9,1010.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:25,35.4,64,29.0,83,25.8,35.4,0.0,0.0,55,1010.7,1010.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:30,35.4,64,29.1,83,25.9,35.7,0.0,0.0,128,1010.9,1010.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:35,35.8,63,29.1,83,25.9,35.7,0.0,0.0,103,1010.7,1010.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:40,36.3,62,29.1,83,25.9,35.7,0.0,0.5,135,1010.7,1010.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:45,36.2,61,29.1,83,25.9,35.7,0.0,0.0,333,1010.4,1010.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:50,35.9,63,29.2,83,26.0,36.1,0.0,0.0,130,1010.6,1010.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 14:55,35.7,62,29.2,83,26.0,36.1,0.0,0.5,259,1010.3,1010.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:00,36.1,61,29.3,83,26.1,36.2,0.0,0.5,156,1010.4,1010.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:05,35.9,61,29.3,83,26.1,36.2,0.0,0.0,135,1010.2,1010.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:10,35.9,63,29.3,83,26.1,36.2,0.0,0.5,322,1010.1,1010.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:15,35.6,62,29.4,83,26.2,36.6,0.0,0.0,129,1009.9,1009.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:20,35.6,62,29.4,83,26.2,36.6,0.0,0.0,103,1009.9,1009.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:25,35.5,63,29.4,83,26.2,36.6,0.0,0.0,321,1009.8,1009.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:30,35.4,64,29.5,83,26.3,36.9,0.0,0.5,114,1009.8,1009.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:35,35.5,64,29.5,83,26.3,36.9,0.0,0.0,242,1009.7,1009.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:40,35.4,63,29.5,83,26.3,36.9,0.0,0.0,230,1009.7,1009.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:45,35.8,63,29.6,83,26.4,37.3,0.0,0.0,60,1009.6,1009.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:50,35.9,62,29.6,83,26.4,37.3,0.0,0.5,295,1009.3,1009.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 15:55,35.9,62,29.6,83,26.4,37.3,0.0,0.0,62,1009.3,1009.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:00,35.9,63,29.7,83,26.5,37.6,0.0,0.0,76,1009.1,1009.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:05,36.1,62,29.7,82,26.5,37.3,0.0,0.0,205,1009.1,1009.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:10,36.3,62,29.7,83,26.3,37.6,0.0,0.0,195,1008.9,1008.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:15,36.5,61,29.8,82,26.4,37.6,0.0,0.0,50,1008.8,1008.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:20,36.8,61,29.8,82,26.4,37.6,0.0,0.0,110,1008.8,1008.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:25,36.7,61,29.8,82,26.4,37.6,0.0,0.5,210,1008.5,1008.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:30,36.6,62,29.8,82,26.4,37.6,0.0,0.0,69,1008.5,1008.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:35,36.0,62,29.8,82,26.4,37.6,0.0,0.0,72,1008.6,1008.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:40,36.2,62,29.9,82,26.5,37.9,0.0,0.5,142,1008.7,1008.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:45,36.1,61,29.9,82,26.5,37.9,0.0,0.0,102,1008.4,1008.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:50,36.0,61,29.9,82,26.5,37.9,0.0,0.5,312,1008.5,1008.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 16:55,36.0,62,29.9,82,26.5,37.9,0.0,0.0,309,1008.5,1008.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 17:00,36.2,60,29.9,82,26.5,37.9,0.0,0.5,46,1008.4,1008.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 17:05,36.4,60,29.9,82,26.5,37.9,0.0,0.5,190,1008.4,1008.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 17:10,36.9,59,29.9,82,26.5,37.9,0.0,0.5,44,1008.2,1008.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 17:15,37.1,59,30.0,82,26.6,38.2,0.0,0.0,149,1008.0,1008.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 17:20,37.2,59,30.0,82,26.6,38.2,0.0,0.0,193,1008.1,1008.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 17:25,37.0,59,30.0,82,26.6,38.2,0.0,0.5,122,1008.2,1008.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 17:30,37.1,60,30.0,82,26.6,38.2,0.0,0.0,154,1008.6,1008.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023/9/16 17:35,36.7,59,30.1,82,26.7,38.6,0.0,0.0,129,1008.7,1008.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
