"Data, Tempo, Vento(m-s), Direção, Chuva, SolarRad"
"10/05/2024, 17:55, 1.2, 1.7, 0.2, 1010.1"
"10/05/2024, 18:00, 5.2, 6.4, 0.6, 1009.8"
"10/05/2024, 18:05, 5.1, 6.4, 0.8, 1009.5"
"10/05/2024, 18:10, 6.9, 8.1, 1.0, 1009.5"
"10/05/2024, 18:15, 7.6, 9.1, 1.2, 1009.5"
"10/05/2024, 18:20, 6.0, 7.0, 1.5, 1009.6"
"10/05/2024, 18:25, 3.9, 4.0, 1.7, 1009.6"
"10/05/2024, 18:30, 2.9, 3.2, 1.9, 1009.7"
"10/05/2024, 18:35, 3.2, 3.5, 2.2, 1009.7"
"10/05/2024, 18:40, 3.6, 4.4, 2.4, 1009.6"
"10/05/2024, 18:45, 3.7, 4.7, 2.5, 1009.6"
"10/05/2024, 18:50, 3.5, 4.1, 2.6, 1009.6"
"10/05/2024, 18:55, 4.0, 4.4, 2.7, 1009.6"
"10/05/2024, 19:00, 4.9, 5.5, 2.8, 1009.7"
"10/05/2024, 19:05, 5.3, 5.6, 2.9, 1009.7"
"10/05/2024, 19:10, 5.8, 5.8, 2.9, 1009.8"
"10/05/2024, 19:15, 3.4, 4.0, 2.9, 1009.8"
"10/05/2024, 19:20, 2.7, 3.5, 2.9, 1009.7"
"10/05/2024, 19:25, 0.7, 0.9, 2.9, 1009.6"
"10/05/2024, 19:30, 1.3, 2.2, 2.9, 1009.9"
"10/05/2024, 19:40, 1.4, 1.8, 2.9, 1010.0"
"10/05/2024, 19:45, 2.5, 2.5, 2.9, 1009.9"
"10/05/2024, 19:50, 1.7, 2.2, 2.9, 1009.9"
"10/05/2024, 19:55, 2.1, 2.4, 2.9, 1010.0"
"10/05/2024, 20:00, 2.1, 2.3, 2.9, 1009.8"
"10/05/2024, 20:05, 2.2, 2.5, 2.9, 1010.0"
"10/05/2024, 20:10, 2.2, 2.9, 2.9, 1010.0"
"10/05/2024, 20:15, 1.8, 2.5, 2.9, 1010.1"
"10/05/2024, 18:20, 2.3, 2.3, 2.9, 1010.0"
"10/05/2024, 18:25, 3.1, 3.7, 2.9, 1010.1"
"10/05/2024, 18:30, 3.8, 4.9, 2.9, 1010.3"
"10/05/2024, 18:35, 3.3, 3.6, 2.9, 1010.3"
"10/05/2024, 18:40, 2.4, 3.1, 2.9, 1010.4"
"10/05/2024, 18:45, 1.9, 2.1, 2.9, 1010.3"
"10/05/2024, 18:50, 3.2, 3.4, 2.9, 1010.4"
"10/05/2024, 18:55, 1.8, 2.0, 2.9, 1010.3"
